TOT_POP,% NA/AI-alone,% Hawaiian/PI-alone,Bachelor's degree or higher 2014-18,Population Aged 60+,STATE_FIPS,anycondition_number,Total Hospitals (2019)
55808.0,3.33643922,0.335077408,5329.0,14565.0,32.0,21671.0,0.809240204
35232.0,1.189259764,0.079473206,7113.0,5479.0,46.0,9170.0,2.276291464
20917.0,1.744992112,0.100396806,3409.0,5310.0,38.0,7243.0,1.07326363
15902.0,0.364733996,0.012577034,1515.0,3997.0,22.0,6610.0,0.539169069
24133.0,0.725148137,0.049724444,2805.0,6402.0,18.0,9016.0,0.476033185
40878.0,0.508831156,0.085620627,3879.0,9356.0,47.0,16595.0,0.694381544
14539.0,0.185707408,0.020634156,1823.0,4297.0,19.0,5142.0,0.543575153
1308.0,0.305810398,0.152905199,71.0,285.0,28.0,725.0,0.04335868
45591.0,0.33120572,0.098703692,5706.0,10871.0,21.0,19101.0,1.071312518
43144.0,0.394029297,0.011589097,8532.0,11885.0,33.0,13923.0,0.890578256
15029.0,0.825071528,0.106460842,969.0,3219.0,13.0,5622.0,0.207159103
106727.0,0.624022038,0.126490954,15569.0,22968.0,47.0,42295.0,1.812937499
8729.0,0.675907893,0.045824264,1367.0,2463.0,20.0,3213.0,0.416736705
109826.0,0.533571286,0.034600186,20445.0,26110.0,26.0,37762.0,1.582140704
89786.0,0.387588265,0.033412782,25442.0,23734.0,33.0,25559.0,1.853362212
126348.0,0.320543262,0.05065375,31034.0,37339.0,25.0,40351.0,1.372920231
11481.0,10.37366083,0.026130128,2058.0,2909.0,38.0,4296.0,0.589096894
9338.0,32.09466695,0.010708931,1003.0,2183.0,46.0,3128.0,0.603315443
81643.0,4.938574036,0.126159009,14389.0,19330.0,30.0,28704.0,4.303856237
99696.0,1.26384208,0.199606805,27754.0,33612.0,6.0,30103.0,0.904791144
23920.0,0.526755853,0.02090301,2118.0,6134.0,1.0,10741.0,0.494268363
39944.0,0.337973162,0.025035049,4386.0,10695.0,54.0,19534.0,1.23868887
145864.0,0.414084353,0.101464378,27895.0,25269.0,13.0,46518.0,2.010583228
20184.0,0.401307967,0.019817677,2647.0,4949.0,21.0,8592.0,0.474290362
14307.0,0.356468861,0.13979171,998.0,3193.0,21.0,6495.0,0.336190656
21899.0,0.191789579,0.0,1893.0,5498.0,21.0,11012.0,0.514590003
15795.0,0.215257993,0.02532447,2562.0,4593.0,51.0,5651.0,0.178020201
45668.0,0.446702286,0.026276605,4996.0,11750.0,18.0,16559.0,0.90081977
15392.0,4.677754678,0.071465696,2342.0,5563.0,55.0,5839.0,0.35213074
726.0,1.652892562,0.137741047,131.0,229.0,48.0,275.0,0.013229045
13397.0,0.843472419,0.933044712,1754.0,4514.0,55.0,5144.0,0.306490094
8832.0,0.27173913,0.09057971,676.0,1693.0,21.0,3488.0,0.207537281
16428.0,0.255661067,0.048697346,1632.0,4371.0,28.0,7258.0,0.544569115
92560.0,0.341400173,0.077787381,21980.0,31925.0,34.0,33175.0,0.851984392
8315.0,0.312687913,0.024052916,856.0,2541.0,13.0,3520.0,0.11461361
34223.0,0.365251439,0.049674196,4418.0,8585.0,17.0,12494.0,0.502288738
6556.0,1.281269067,0.030506406,685.0,1260.0,17.0,2587.0,0.096221984
9864.0,1.652473642,0.334549878,1069.0,1826.0,48.0,3503.0,0.179740083
82764.0,0.416847905,0.022956841,7592.0,17636.0,22.0,32526.0,2.806174621
49208.0,0.979515526,0.17476833,5460.0,9283.0,48.0,17165.0,0.89665957
26447.0,0.340303248,0.12099671,2996.0,6305.0,36.0,9060.0,0.22465229
8591.0,1.722733093,0.034920265,817.0,1306.0,48.0,2690.0,0.1565437
15876.0,0.359032502,0.069286974,1015.0,3802.0,13.0,7452.0,0.218834115
228783.0,0.537190263,0.158665635,59442.0,39776.0,51.0,76314.0,2.578537243
7878.0,0.685453161,0.012693577,913.0,2090.0,20.0,2929.0,0.376108576
16513.0,3.149034094,0.066614183,2419.0,5638.0,16.0,5278.0,0.42360142
8991.0,15.22633745,0.1334668,1003.0,2759.0,55.0,3366.0,0.205691754
19779.0,0.374134183,0.065726275,3745.0,4356.0,51.0,6623.0,0.222922543
705388.0,0.210947734,0.046073934,258768.0,155147.0,25.0,183465.0,7.66487365
23933.0,0.275769858,0.037604981,2408.0,6578.0,51.0,9534.0,0.269740898
14523.0,0.254768299,0.013771259,1091.0,4171.0,51.0,6081.0,0.163683912
11881.0,0.959515192,0.0168336,1019.0,4182.0,26.0,5728.0,0.171156317
29206.0,0.513593097,0.030815586,2727.0,7527.0,29.0,12121.0,0.581597962
20891.0,0.8759753,0.033507252,2329.0,5270.0,5.0,8095.0,0.609991622
481857.0,1.176697651,0.886985143,93232.0,92850.0,53.0,139527.0,5.882862273
3343364.0,1.317086623,0.588568879,848022.0,604412.0,6.0,893601.0,30.3427032
84203.0,0.250584896,0.039191003,13302.0,22379.0,54.0,37210.0,2.611188638
359977.0,0.520588815,0.087505591,50132.0,119425.0,12.0,152080.0,3.667487538
13773.0,0.791403471,0.007260582,1256.0,3789.0,27.0,4805.0,0.311729674
7720.0,2.046632124,0.038860104,433.0,1204.0,48.0,2663.0,0.14067249
12287.0,1.269634573,0.081386832,963.0,2635.0,48.0,4766.0,0.223891565
42057.0,0.332881566,0.061820862,5244.0,9347.0,39.0,16502.0,0.697985242
13953.0,13.7963162,0.078836093,1781.0,3407.0,40.0,5428.0,0.442325655
2074.0,3.230472517,0.096432015,300.0,537.0,8.0,661.0,0.032408731
149960.0,0.694185116,0.171379034,36557.0,19771.0,51.0,42149.0,1.690149377
2042.0,54.55435847,0.0,171.0,457.0,46.0,849.0,0.131930835
5899.0,0.661129005,0.203424309,768.0,1592.0,20.0,2123.0,0.281627887
187149.0,0.394872535,0.099386051,33020.0,36997.0,47.0,62241.0,3.179040356
28248.0,0.502690456,0.021240442,2754.0,4778.0,28.0,12530.0,0.936388384
80695.0,0.407708036,0.042133961,12588.0,17868.0,36.0,29627.0,0.685458333
286419.0,1.781306408,0.961877529,68603.0,60028.0,53.0,87240.0,3.496812393
5779.0,1.159370133,0.069216127,480.0,1379.0,48.0,2252.0,0.105303927
160137.0,4.845226275,0.085551746,33325.0,34804.0,30.0,46550.0,8.441711185
805.0,0.124223603,0.0,111.0,289.0,31.0,303.0,0.038804873
70675.0,0.49522462,0.097629996,17066.0,15267.0,51.0,20912.0,0.796554463
35774.0,0.603790462,0.055906524,2738.0,9766.0,47.0,15993.0,0.607681525
34475.0,0.501812908,0.136330674,7015.0,7948.0,13.0,11022.0,0.475201947
70422.0,0.366362784,0.065320496,9306.0,12724.0,13.0,20697.0,0.97069388
62249.0,0.322896753,0.062651609,12370.0,20484.0,45.0,27366.0,0.844821736
29503.0,0.447412128,0.044063316,3116.0,7499.0,47.0,11774.0,0.501158049
6488.0,2.250308261,0.092478422,841.0,2059.0,31.0,2438.0,0.312752816
19386.0,0.252759724,0.005158362,2699.0,4730.0,28.0,8621.0,0.642623379
547538.0,0.473391801,0.078168091,91702.0,160876.0,12.0,214418.0,5.578380817
22596.0,0.677110993,0.261108161,1994.0,4703.0,51.0,9101.0,0.254672015
161355.0,0.296241207,0.074370178,46210.0,34945.0,25.0,44103.0,1.753312628
27591.0,3.193070204,0.181218513,4418.0,7333.0,35.0,11029.0,0.539856774
6628.0,0.422450211,0.0,813.0,1683.0,29.0,2376.0,0.13198765
4664.0,0.38593482,0.021440823,855.0,1745.0,20.0,1769.0,0.222666971
20298.0,0.320228594,0.029559563,2170.0,4447.0,28.0,8764.0,0.672855119
